artists,year,type,genre
Queen,"1970, 1980, 1990, 2000, 2010","Group, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, Classics, Opera/Vocal, Newage, World"
QM (홍준용),2010,"Solo, Male","Rap/Hiphop, Indie"
Quavo (Quavious Marshall),2010,"Solo, Male","POP, Rap/Hiphop, R&B/Soul"
Quincy Jones (Quincy Delight Jones Jr.),"1950, 1960, 1970, 1980, 1990, 2000, 2010","Solo, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, Blues, Classics, Crossover, Jazz, VocalJazz"
Quinn XCII,2010,"Solo, Male","POP, Electronica"
Red Velvet (레드벨벳),2010,"Group, Female","Ballad, Dance, Rap/Hiphop, R&B/Soul, Electronica"
RM,2010,"Solo, Male","Dance, Rap/Hiphop, R&B/Soul"
Ruel,2010,"Solo, Male","POP, R&B/Soul"
Rihanna (Robyn Rihanna Fenty),"2000, 2010","Solo, Female","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, Country, EDM"
Radiohead,"1990, 2000, 2010","Group, Male","POP, Rock/Metal, Electronica, EDM, World"
SHINee (샤이니),"2000, 2010","Group, Male","Ballad, Dance, R&B/Soul, Electronica, Classics, Crossover"
SUGA,2010,"Solo, Male",Dance
Shawn Mendes,2010,"Solo, Male","POP, Rock/Metal, Electronica, Rap/Hiphop, R&B/Soul, Country"
Sia (Sia Kate Isobelle Furler),"1990, 2000, 2010","Solo, Female","POP, Rock/Metal, Electronica, Rap/Hiphop, Country, EDM, Jazz"
TWICE (트와이스),2010,"Group, Female","Ballad, Dance, R&B/Soul"
Taylor Swift (Taylor Alison Swift),"2000, 2010","Solo, Female","POP, Rock/Metal, Electronica, Folk, Country, Classics, Crossover"
The Beatles,"1960, 1970",1970.04,그룹|남성
Travis Garland (Travis Michael Garland),2010,"Solo, Male","POP, R&B/Soul"
Travis Scott,2010,"Solo, Male","POP, Electronica, Rap/Hiphop, EDM"
UNEDUCATED KID,2010,"Solo, Male",Rap/Hiphop
UV,2010,"Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Electronica"
U2,"1980, 1990, 2000, 2010","Group, Male","POP, Rock/Metal, Electronica, Folk, Blues, Country, EDM, World"
Ugly Duck (선주경),2010,"Solo, Male","Dance, Rap/Hiphop, R&B/Soul, Indie"
unofficialboyy,2010,"Solo, Male",Rap/Hiphop
V.O.S,"2000, 2010","Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul"
V,2010,"Solo, Male",Dance
VICTON (빅톤),2010,"Group, Male","Ballad, Dance, R&B/Soul"
VIXX(빅스),2010,"Group, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Electronica, POP, Rock/Metal"
VERIVERY,2010,"Group, Male","Ballad, Dance"
WINNER,2010,"Group, Male","Ballad, Dance, Rock/Metal, Rap/Hiphop, R&B/Soul"
WELOVE,2010,Solo,"CCM, KoreanCCM, Worship"
Wanna One (워너원),2010,"Group, Male","Ballad, Dance"
Woodie Gochild,2010,"Solo, Male",Rap/Hiphop
Why Don`t We,2010,"Group, Male","POP, Electronica, EDM"
X1 (엑스원),2010,"Group, Male","Ballad, Dance"
XXXTENTACION (Jahseh Dwayne Onfroy),2010,"Solo, Male","POP, Electronica, Rap/Hiphop, R&B/Soul"
XXX,2010,"Group, Male","Indie, Electronica, Rap/Hiphop, World"
XIA (준수) (김준수),"2000, 2010","Solo, Male","Ballad, Dance, R&B/Soul"
X-Japan,"1980, 1990, 2000, 2010","Group, Male","Ballad, POP, Rock/Metal, Newage, J-POP"
YUNHWAY,2010,"Solo, Female","Rap/Hiphop, R&B/Soul, Indie"
Yonezu Kenshi,"2000, 2010","Solo, Male",J-POP
yaeji,2010,"Solo, Female",Electronica
Yorushika,2010,Group,J-POP
Young Thug (Jeffery Lamar Williams),2010,"Solo, Male","POP, Electronica, Rap/Hiphop, R&B/Soul"
ZENE THE ZILLA,2010,"Solo, Male","Rap/Hiphop, Indie"
Zion.T (김해솔),2010,"Solo, Male","Ballad, Dance, Rap/Hiphop, R&B/Soul, Rock/Metal"
Zedd (Anton Zaslavski),"2000, 2010","Solo, Male","POP, Electronica, Rap/Hiphop, R&B/Soul, Country, EDM"
ZAYN (Zayn Malik),2010,"Solo, Male","POP, Electronica"
Zara Larsson (Zara Maria Larsson),2010,"Solo, Female","POP, Electronica, R&B/Soul, EDM"
